Cycles,Current density,Voltage
0.47723,10,314.12067
0.47777,10,314.17024
0.47831,10,314.21617
0.47885,10,314.25844
0.4794,10,314.29707
0.47994,10,314.33204
0.48048,10,314.36336
0.48102,10,314.39104
0.48157,10,314.41506
0.48211,10,314.43543
0.48265,10,314.45214
0.48319,10,314.46521
0.48374,10,314.47462
0.48428,10,314.48038
0.48482,10,314.48248
0.48536,10,314.48094
0.4859,10,314.47574
0.48645,10,314.46688
0.48699,10,314.45438
0.48753,10,314.43822
0.48807,10,314.41841
0.48862,10,314.39495
0.48916,10,314.36784
0.4897,10,314.33708
0.49024,10,314.30266
0.49079,10,314.26459
0.49133,10,314.22288
0.49187,10,314.17751
0.49241,10,314.1285
0.49296,10,314.07583
0.4935,10,314.01952
0.49404,10,313.95956
0.49458,10,313.89596
0.49513,10,313.82871
0.49567,10,313.75781
0.49621,10,313.68327
0.49675,10,313.60509
0.4973,10,313.52326
0.49784,10,313.43779
0.49838,10,313.34868
0.49892,10,313.25594
0.49946,10,313.15955
0.50001,10,313.05953
0.50055,10,312.95587
0.50109,10,312.84857
0.50163,10,312.73764
0.50218,10,312.62308
0.50272,10,312.50489
0.50326,10,312.38307
0.5038,10,312.25762
0.50435,10,312.12854
0.50489,10,311.99584
0.50543,10,311.85951
0.50597,10,311.71956
0.50652,10,311.576
0.50706,10,311.42881
0.5076,10,311.278
0.50814,10,311.12358
0.50869,10,310.96555
0.50923,10,310.8039
0.50977,10,310.63865
0.51031,10,310.46978
0.51086,10,310.29731
0.5114,10,310.12124
0.51194,10,309.94156
0.51248,10,309.75829
0.51302,10,309.57141
0.51357,10,309.38095
0.51411,10,309.18688
0.51465,10,308.98923
0.51519,10,308.78799
0.51574,10,308.58316
0.51628,10,308.37475
0.51682,10,308.16275
0.51736,10,307.94718
0.51791,10,307.72803
0.51845,10,307.5053
0.51899,10,307.27901
0.51953,10,307.04914
0.52008,10,306.81571
0.52062,10,306.57871
0.52116,10,306.33816
0.5217,10,306.09404
0.52225,10,305.84637
0.52279,10,305.59515
0.52333,10,305.34038
0.52387,10,305.08206
0.52442,10,304.8202
0.52496,10,304.5548
0.5255,10,304.28586
0.52604,10,304.01339
0.52658,10,303.73739
0.52713,10,303.45786
0.52767,10,303.1748
0.52821,10,302.88822
0.52875,10,302.59813
0.5293,10,302.30452
0.52984,10,302.0074
0.53038,10,301.70677
0.53092,10,301.40264
0.53147,10,301.09501
0.53201,10,300.78388
0.53255,10,300.46925
0.53309,10,300.15114
0.53364,10,299.82954
0.53418,10,299.50446
0.53472,10,299.1759
0.53526,10,298.84386
0.53581,10,298.50835
0.53635,10,298.16938
0.53689,10,297.82694
0.53743,10,297.48105
0.53798,10,297.1317
0.53852,10,296.7789
0.53906,10,296.42265
0.5396,10,296.06296
0.54014,10,295.69983
0.54069,10,295.33326
0.54123,10,294.96327
0.54177,10,294.58985
0.54231,10,294.21301
0.54286,10,293.83275
0.5434,10,293.44908
0.54394,10,293.062
0.54448,10,292.67151
0.54503,10,292.27763
0.54557,10,291.88035
0.54611,10,291.47968
0.54665,10,291.07563
0.5472,10,290.6682
0.54774,10,290.25739
0.54828,10,289.84321
0.54882,10,289.42566
0.54937,10,289.00475
0.54991,10,288.58049
0.55045,10,288.15287
0.55099,10,287.72191
0.55154,10,287.2876
0.55208,10,286.84996
0.55262,10,286.40899
0.55316,10,285.96469
0.5537,10,285.51707
0.55425,10,285.06613
0.55479,10,284.61188
0.55533,10,284.15433
0.55587,10,283.69348
0.55642,10,283.22933
0.55696,10,282.76189
0.5575,10,282.29117
0.55804,10,281.81717
0.55859,10,281.33989
0.55913,10,280.85935
0.55967,10,280.37555
0.56021,10,279.88849
0.56076,10,279.39818
0.5613,10,278.90463
0.56184,10,278.40783
0.56238,10,277.9078
0.56293,10,277.40455
0.56347,10,276.89807
0.56401,10,276.38838
0.56455,10,275.87547
0.5651,10,275.35937
0.56564,10,274.84006
0.56618,10,274.31756
0.56672,10,273.79188
0.56726,10,273.26302
0.56781,10,272.73098
0.56835,10,272.19577
0.56889,10,271.65741
0.56943,10,271.11589
0.56998,10,270.57122
0.57052,10,270.0234
0.57106,10,269.47246
0.5716,10,268.91838
0.57215,10,268.36118
0.57269,10,267.80086
0.57323,10,267.23743
0.57377,10,266.6709
0.57432,10,266.10127
0.57486,10,265.52855
0.5754,10,264.95275
0.57594,10,264.37386
0.57649,10,263.79191
0.57703,10,263.2069
0.57757,10,262.61883
0.57811,10,262.0277
0.57866,10,261.43354
0.5792,10,260.83634
0.57974,10,260.23611
0.58028,10,259.63285
0.58082,10,259.02658
0.58137,10,258.41731
0.58191,10,257.80503
0.58245,10,257.18976
0.58299,10,256.5715
0.58354,10,255.95026
0.58408,10,255.32605
0.58462,10,254.69887
0.58516,10,254.06873
0.58571,10,253.43565
0.58625,10,252.79962
0.58679,10,252.16065
0.58733,10,251.51876
0.58788,10,250.87394
0.58842,10,250.22621
0.58896,10,249.57558
0.5895,10,248.92204
0.59005,10,248.26562
0.59059,10,247.60631
0.59113,10,246.94413
0.59167,10,246.27907
0.59222,10,245.61116
0.59276,10,244.9404
0.5933,10,244.26679
0.59384,10,243.59034
0.59438,10,242.91107
0.59493,10,242.22897
0.59547,10,241.54406
0.59601,10,240.85634
0.59655,10,240.16583
0.5971,10,239.47253
0.59764,10,238.77645
0.59818,10,238.07759
0.59872,10,237.37597
0.59927,10,236.67159
0.59981,10,235.96446
0.60035,10,235.2546
0.60089,10,234.542
0.60144,10,233.82667
0.60198,10,233.10863
0.60252,10,232.38789
0.60306,10,231.66444
0.60361,10,230.93831
0.60415,10,230.20949
0.60469,10,229.478
0.60523,10,228.74384
0.60578,10,228.00702
0.60632,10,227.26756
0.60686,10,226.52546
0.6074,10,225.78073
0.60794,10,225.03337
0.60849,10,224.28341
0.60903,10,223.53083
0.60957,10,222.77566
0.61011,10,222.01791
0.61066,10,221.25757
